shared name	BHI_2011_EGDe[RNASeq]	BHI_2014_EGDe[RNASeq]	BHI_Long_2014_EGDe[RNASeq]	BHI_Medium_2014_EGDe[RNASeq]	BHI_Short_2014_EGDe[RNASeq]	High_10_Plantarum_Pediocin_2014[RNASeq]	High_180_Plantarum_Pediocin_2014[RNASeq]	High_60_Plantarum_Pediocin_2014[RNASeq]	High_60_Proteinase_Plantarum_Pediocin_2014[RNASeq]	LB_2014_EGDe[RNASeq]	LB_B12_2014_EGDe[RNASeq]	LB_B12_EA_2014_EGDe[RNASeq]	LB_EA_2014_EGDe[RNASeq]	Lmo0753_Rhamnose_2013_EGDe[RNASeq]	Macrophages_2011_EGDe[RNASeq]	Macrophages_2014_EGDe[RNASeq]	Macrophages_Long_2014_EGDe[RNASeq]	Macrophages_Medium_2014_EGDe[RNASeq]	Macrophages_Short_2014_EGDe[RNASeq]	Mid_180_Plantarum_Pediocin_2014[RNASeq]	Mid_60_Plantarum_Pediocin_2014[RNASeq]	WT_2012_EGDe[RNASeq]
lmo0666	7.412600356	0.737838913	0.137531741	-0.29822907	-0.577870616	0.433630989	-0.653978871	0.499601015	0.377525464	1.621856461	1.245773564	1.538823128	1.44971517	-1.410913042	-4.240179951	-0.584860019	-2.187202993	-1.49471082	-1.176173695	0.267673933	0.364422229	1.036836207
lmo0667	0	0.2019107	-0.191349114	0.187197757	0.378979299	0.233762187	0.020434593	0.56003908	0.482564591	1.1712899	0.692995392	0.868365471	0.717890514	1.342428094	1.272505072	-0.079132921	-0.495325288	0.18711322	0.611919325	0.368431655	0.470621918	0.783161696
lmo0668	0	0.413669946	0.227831612	-0.807199536	-0.75305663	-0.101841474	-0.213915136	0.237257405	0.286894471	1.136775044	0.706081632	0.846143539	0.82882914	-0.567616189	1.552282742	0.876755138	-0.045622617	-0.523055446	-0.131761978	-0.130439237	0.127268338	0.972133081
lmo0669	0	-0.126844717	-1.897114402	-1.677523384	-0.759358147	-2.004795374	0.874048596	-0.346966033	-0.886326548	2.343581311	2.675920404	1.853126899	1.808825547	0.246878253	2.575728568	2.578798537	2.694030243	2.871285324	2.889570628	1.85948931	-0.367129889	0.223267015
lmo0670	0	0.485673506	-1.575186307	-1.110482791	0.516766258	-2.020723408	0.982561416	-0.31107259	-1.097709154	2.550032189	3.032288142	2.035291962	2.077522435	-1.454084358	2.090301741	3.226329047	3.299751304	2.724621801	2.979345422	1.690306837	-0.160172981	-1.387690694
lmo0671	5.402616268	-1.902388556	-0.550524253	-0.763892642	0.027804593	-0.566063482	-0.515588158	-0.758358703	-0.824525393	-0.243077295	-0.186803217	-0.61442704	-0.599677304	-0.233620454	0.307608873	-1.895165734	0.932095935	0.987158187	1.104337804	-0.185466648	-0.875424451	-2.822460259
lmo0672	0	-1.515329867	-1.267452093	-0.743854889	-0.466730826	-2.775613352	-2.772091792	-2.679142406	-2.649262391	-1.004834918	-1.116020665	-1.588955401	-1.59301858	-1.030556231	0.813073453	-0.504417026	-0.784831905	1.152772765	1.158293328	-2.838510776	-2.621637839	-1.836901898
lmo0673	7.523631669	1.489011792	-2.558791869	-0.772160258	0.016369698	0.953649485	2.253823049	0.45325076	0.807481467	0.099334535	0.345802382	0.084476336	-0.034330097	-0.944996477	1.843661773	3.513426257	3.361233632	2.066004134	2.180164431	2.291560614	0.645268848	-1.393322562
lmo0674	5.39081984	1.853807507	-0.661856354	1.064654264	1.342989489	0.966494519	2.060179229	0.746620748	0.786960346	1.722295569	2.147683114	1.254008206	1.505141259	0.559861624	2.880774946	3.380149608	3.142691929	1.737049783	1.664023963	1.967751526	1.107997597	-2.904646014
lmo0675	0	-4.576740681	-5.406756044	-1.241645541	-0.568592802	-2.473908828	-3.601572306	-2.380712144	-2.445601219	-0.370764009	0.306146182	-0.208035271	-0.612061028	-0.956861036	2.843661773	-4.907631806	-5.34038473	2.973438015	3.020042605	-2.838510776	-2.632661392	-2.586081711
